Objectid,Title,Type,Date,Creator,Description,Subject,Location,Source,Page URL,Format,Language,Rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
235345069,Advertising,Advertising,12/13/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235345069,http://trove.nla.gov.au/newspaper/page/25394720,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235344830.jpg,,,,
235345417,Advertising,Advertising,6/12/1947,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235345417,http://trove.nla.gov.au/newspaper/page/25395228,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235345051.jpg,,,,
235345677,Advertising,Advertising,8/2/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235345677,http://trove.nla.gov.au/newspaper/page/25394604,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235345069.jpg,,,,
235346006,Advertising,Advertising,2/22/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346006,http://trove.nla.gov.au/newspaper/page/25394466,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235345417.jpg,,,,
235346131,Advertising,Advertising,7/26/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346131,http://trove.nla.gov.au/newspaper/page/25394598,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235345677.jpg,,,,
235346381,Advertising,Advertising,12/25/1947,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346381,http://trove.nla.gov.au/newspaper/page/25395454,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346006.jpg,,,,
235346507,Advertising,Advertising,1/25/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346507,http://trove.nla.gov.au/newspaper/page/25394442,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346131.jpg,,,,
235346536,Advertising,Advertising,10/25/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346536,http://trove.nla.gov.au/newspaper/page/25394678,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346381.jpg,,,,
235346642,Advertising,Advertising,3/20/1947,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346642,http://trove.nla.gov.au/newspaper/page/25395130,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346507.jpg,,,,
235346754,Advertising,Advertising,10/16/1947,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346754,http://trove.nla.gov.au/newspaper/page/25395372,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346536.jpg,,,,
235346848,Advertising,Advertising,9/27/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346848,http://trove.nla.gov.au/newspaper/page/25394652,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346642.jpg,,,,
235346962,Advertising,Advertising,1/4/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235346962,http://trove.nla.gov.au/newspaper/page/25394424,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346754.jpg,,,,
235347647,Advertising,Advertising,1/3/1946,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235347647,http://trove.nla.gov.au/newspaper/page/25394728,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346848.jpg,,,,
235347783,Advertising,Advertising,6/14/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235347783,http://trove.nla.gov.au/newspaper/page/25394562,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235346962.jpg,,,,
235348153,Advertising,Advertising,2/7/1946,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235348153,http://trove.nla.gov.au/newspaper/page/25394756,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235347647.jpg,,,,
235348291,Advertising,Advertising,3/22/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235348291,http://trove.nla.gov.au/newspaper/page/25394490,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235347783.jpg,,,,
235348849,Advertising,Advertising,4/12/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235348849,http://trove.nla.gov.au/newspaper/page/25394508,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235348153.jpg,,,,
235349113,Advertising,Advertising,7/19/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235349113,http://trove.nla.gov.au/newspaper/page/25394592,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235348291.jpg,,,,
235349201,Advertising,Advertising,8/16/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235349201,http://trove.nla.gov.au/newspaper/page/25394616,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235348849.jpg,,,,
235349530,Advertising,Advertising,3/1/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235349530,http://trove.nla.gov.au/newspaper/page/25394472,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235349113.jpg,,,,
235349643,Advertising,Advertising,10/11/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235349643,http://trove.nla.gov.au/newspaper/page/25394666,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235349201.jpg,,,,
235349694,Advertising,Advertising,5/17/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235349694,http://trove.nla.gov.au/newspaper/page/25394538,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235349530.jpg,,,,
235350018,Advertising,Advertising,7/5/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350018,http://trove.nla.gov.au/newspaper/page/25394580,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235349643.jpg,,,,
235350275,Advertising,Advertising,5/10/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350275,http://trove.nla.gov.au/newspaper/page/25394532,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235349694.jpg,,,,
235350455,Advertising,Advertising,5/2/1946,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350455,http://trove.nla.gov.au/newspaper/page/25394834,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350018.jpg,,,,
235350534,Advertising,Advertising,2/1/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350534,http://trove.nla.gov.au/newspaper/page/25394448,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350275.jpg,,,,
235350658,Advertising,Advertising,5/24/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350658,http://trove.nla.gov.au/newspaper/page/25394544,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350455.jpg,,,,
